Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PriceCharting_ID,Summary,URL
nintendo-ds,Battle of Giants: Dinosaurs,2008-10-14,Everyone,Ubisoft,none,Fighting,008888164333,16085,"Designed for boy gamers aged six to ten, Battle of Giants: Dinosaurs is a fighting game that lets players do battle with some of the most powerful and ferocious creatures to ever roam the earth. Gamers select from a group of 26 different dinosaurs, spread across five different dino personalities, and then face off against other thunder lizards in intense, stylus-based battles. Players must defend nine different territories, and those who win are rewarded with special eggs that unlock thorns, bones, and feathers to make their creatures stronger, tougher, and faster. Gamers can battle alone, or use the DS' wireless capabilities to take part in two-player ""Quick Combat"" mode, or tournaments for up to eight.",https://www.pricecharting.com/game/nintendo-ds/battle-of-giants-dinosaurs
nintendo-ds,Battle of Giants: Dragons,2009-09-29,Everyone 10+,Ubisoft,none,Other,008888165682,19676,none,https://www.pricecharting.com/game/nintendo-ds/battle-of-giants-dragons
nintendo-ds,Battle of Giants: Mutant Insects,2010-03-02,Everyone 10+,Ubisoft,none,Action & Adventure,008888165880,21011,none,https://www.pricecharting.com/game/nintendo-ds/battle-of-giants-mutant-insects
nintendo-ds,Battles of Prince of Persia,2005-12-06,Everyone 10+,Ubisoft,none,Strategy,008888162858,3990,none,https://www.pricecharting.com/game/nintendo-ds/battles-of-prince-of-persia
nintendo-ds,Battleship,2012-05-15,Everyone 10+,Activision,none,Action & Adventure,047875769182,32735,none,https://www.pricecharting.com/game/nintendo-ds/battleship
nintendo-ds,Battleship / Connect Four / Sorry / Trouble,2006-01-01,Everyone,Destination Software,none,Party,802068101015,39976,none,https://www.pricecharting.com/game/nintendo-ds/battleship-connect-four-sorry-trouble
nintendo-ds,Beastly Frantic Foto,2011-03-10,Everyone,Storm City Entertainment,7Raven Studios,Action & Adventure,814157010146,31037,"Beastly is a modern day retelling of Beauty and the Beast set in a big city high school. Using your Nintendo DS stylus, spot the differences between scenes from the Beastly feature film before the time runs out! After completing five puzzles, you can play one of three challenging mini games to further test your visual skills. Compete against a friend in a fast paced battle to see who is the ""spot the difference"" champ!",https://www.pricecharting.com/game/nintendo-ds/beastly-frantic-foto
nintendo-ds,Beat City,2010-04-20,Everyone,THQ,none,Other,785138363561,21195,none,https://www.pricecharting.com/game/nintendo-ds/beat-city
nintendo-ds,Bee Movie Game,2007-10-30,Everyone,Activision,none,Action & Adventure,047875830912,10252,none,https://www.pricecharting.com/game/nintendo-ds/bee-movie-game
nintendo-ds,Bejeweled 3,2011-11-15,Everyone,PopCap Games,none,Strategy,899274002496,32256,none,https://www.pricecharting.com/game/nintendo-ds/bejeweled-3
