,PC_ID,Title,loose_price,cib_price,new_price
358,11992,Ghosts 'n Goblins,11.99,92.99,372.00
359,37998,Ghosts 'n Goblins [5 Screw],16.99,156.00,624.00
360,2736568,Ghoul Grind [Homebrew],90.00,,127.51
361,9033,Ghoul School,39.45,139.77,255.01
362,12240,G.I. Joe: A Real American Hero,80.50,321.37,"1,247.68"
363,9034,GI Joe The Atlantis Factor,50.23,131.47,526.00
364,12247,Gilligan's Island,22.17,90.78,363.00
365,12248,Goal,5.65,27.00,155.00
366,9039,Goal Two,25.27,98.79,395.00
367,12249,Godzilla,22.52,88.33,356.94
368,9042,Godzilla 2,133.04,399.25,"1,597.00"
369,9045,Gold Medal Challenge '92,17.05,49.99,282.91
370,9050,Golf,4.27,32.41,925.00
371,37969,Golf [5 Screw],8.82,47.49,190.00
372,9051,Golf Grand Slam,19.22,56.24,225.00
373,12250,Golgo 13 Top Secret Episode,3.91,27.14,100.00
374,12251,Gotcha,4.74,38.47,277.95
375,39516,Gotcha [5 Screw],"1,024.49","1,249.99",229.99
376,11993,Gradius,13.62,110.00,201.58
377,37999,Gradius [5 Screw],16.46,102.51,410.00
378,9063,Great Waldo Search,18.99,85.30,133.00
379,9068,Greg Norman's Golf Power,12.76,46.19,185.00
380,12252,Gremlins 2,21.62,135.49,542.00
381,12253,Guerrilla War,12.75,71.26,274.75
382,12254,Gumshoe,11.88,118.27,"1,316.42"
383,37990,Gumshoe [5 Screw],14.99,118.27,473.00
384,12255,Gun-Nac,335.00,774.75,"3,099.00"
385,12256,Gun.Smoke,20.56,84.88,339.37
386,68556,Gun.Smoke [Bar],17.00,125.00,500.00
387,12257,Gyromite,5.99,170.00,"2,692.50"
388,37970,Gyromite [5 Screw],8.85,90.00,360.00
389,37958,Gyromite [ROB Bundle],524.99,999.99,"4,000.00"
390,12258,Gyruss,9.99,40.12,225.91
391,3398915,Happy Camper [Homebrew],,71.07,
392,3510939,Haradius Zero [Homebrew],,,
393,4891782,HaraForce [Homebrew],,,
394,4891790,Haratyler [Homebrew],,,
395,4891788,Haratyler MP [Homebrew],,,
396,12259,Harlem Globetrotters,16.03,39.99,179.50
397,9097,Hatris,34.95,90.50,362.00
398,1312889,Haunted Halloween '85 [Homebrew],54.54,78.36,85.98
399,1312890,Haunted Halloween '86 [Homebrew],54.64,60.00,49.20
400,12260,Heavy Barrel,15.00,53.66,374.69
401,12261,Heavy Shreddin',6.49,38.50,124.16
402,9109,High Speed,11.00,30.26,121.00
403,2585570,Hit The Ice [Homebrew],50.00,,
404,12262,Hogan's Alley,7.79,53.00,"1,799.95"
405,37971,Hogan's Alley [5 Screw],11.55,63.60,254.00
406,9115,Hollywood Squares,9.75,30.87,170.50
407,5700619,Hollywood Squares [Black Box],20.00,70.00,280.00
408,58103,Holy Diver [Collectors Edition],75.00,107.50,140.00
409,9117,Home Alone,12.24,74.10,590.00
410,9119,Home Alone 2 Lost In New York,9.31,35.13,141.00
411,9121,Hook,15.00,54.75,235.00
412,12263,Hoops,3.79,17.35,219.11
413,14931,Hot Slots,"1,453.72","2,284.88","3,000.00"
414,9132,Hudson Hawk,15.00,54.60,156.26
415,9133,Hunt for Red October,8.15,24.87,169.99
416,12264,Hydlide,7.44,40.81,112.98
417,11994,Ice Climber,17.61,225.50,902.00
418,37972,Ice Climber [5 Screw],21.20,197.50,790.00
419,11995,Ice Hockey,3.00,19.99,249.99
420,4134140,Ice Hockey [Black Box],35.71,125.00,500.00
421,12265,Ikari Warriors,8.99,38.75,155.00
422,38008,Ikari Warriors [5 Screw],10.07,55.00,220.00
423,12266,Ikari Warriors II,9.99,69.99,280.00
424,12267,Ikari Warriors III,39.86,149.99,600.00
425,12268,Image Fight,24.97,111.01,145.32
426,9138,Immortal,13.56,45.13,67.49
427,12269,Impossible Mission II,23.26,39.99,74.56
428,44966,Impossible Mission II [AVE],18.50,38.75,155.00
429,39510,Impossible Mission II [SEI],24.12,25.00,72.99
430,9143,Incredible Crash Dummies,25.00,100.00,400.00
431,12270,Indiana Jones and the Last Crusade,46.02,192.75,771.00
432,30748,Indiana Jones and the Last Crusade [Ubisoft],239.81,307.94,"1,232.00"
433,12271,Indiana Jones and the Temple of Doom,16.86,69.99,280.00
434,39513,Indiana Jones and the Temple of Doom [Tengen],14.95,89.95,865.81
435,12272,Infiltrator,6.17,28.54,114.95
436,12274,Iron Sword Wizards and Warriors II,4.25,29.88,158.19
437,12273,Iron Tank,8.62,33.40,128.75
