,PC_ID,Title,loose_price,cib_price,new_price
415,19672,Family Fun Football,5.36,6.95,17.47
416,21277,Family Game Show,5.59,6.83,11.65
417,16106,Family Party: 30 Great Games,4.25,4.54,9.95
418,19641,Family Party: 30 Great Games Outdoor Fun,3.99,5.85,8.95
419,20395,Family Party: 30 Great Games Winter Fun,5.62,7.96,10.38
420,30907,Family Party: 90 Great Games Party Pack,7.00,9.95,18.18
421,22046,Family Party: Fitness Fun,6.34,7.47,10.79
422,6791,Fantastic Four: Rise of the Silver Surfer,4.82,5.37,10.00
423,18735,Fantasy Aquarium World,5.45,5.92,13.52
424,7325,Far Cry Vengeance,3.79,6.41,15.96
425,20342,Fast Food Panic,8.72,8.78,19.00
426,14622,Ferrari Challenge,6.41,7.08,16.89
427,11079,FIFA 08,3.87,4.46,12.74
428,15718,FIFA 09 All-Play,5.10,5.40,10.83
429,153006,FIFA 14,39.99,41.49,83.00
430,155191,FIFA 14 [Edicion Legado],69.99,109.99,220.00
431,35071,FIFA 15: Legacy Edition,13.03,13.11,27.49
432,19777,FIFA Soccer 10,5.40,5.61,8.75
433,22055,FIFA Soccer 11,6.18,6.50,18.67
434,31762,FIFA Soccer 12,6.07,6.20,20.00
435,33120,FIFA Soccer 13,6.49,8.25,22.03
436,20120,Final Fantasy Crystal Chronicles: Crystal Bearers,12.00,12.58,34.95
437,16477,Final Fantasy Crystal Chronicles: Echoes of Time,12.56,15.82,39.99
438,14065,Final Fantasy Fables Chocobo's Dungeon,17.97,18.92,50.67
439,10353,Fire Emblem Radiant Dawn,109.92,109.94,156.37
440,7332,Fishing Master,7.49,9.90,16.21
441,18540,Fishing Master World Tour,7.00,10.97,22.91
442,32358,Fishing Resort,48.05,49.95,78.99
443,91077,Fishing Resort [Rod Bundle],84.35,150.00,159.99
444,31070,Fit in Six,3.99,6.31,11.61
445,31071,Fit in Six Camera Bundle,10.30,13.39,19.99
446,30908,FlatOut,9.07,9.07,22.95
447,31872,FlingSmash,6.77,7.05,8.26
448,31871,FlingSmash [Controller Bundle],15.33,25.88,45.98
449,30336,Flip's Twisted World,6.00,6.38,14.76
450,19934,Food Network: Cook or Be Cooked,6.00,6.52,10.95
451,14095,Ford Racing Off Road,5.99,6.40,13.14
452,32379,Fortune Street,25.05,26.07,40.32
453,21068,Fragile Dreams: Farewell Ruins of The Moon,72.66,83.15,110.00
454,14626,Freddi Fish Kelp Seed Mystery,11.14,12.99,33.42
