PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
8544,5.42,11.81,18.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97Y2NFYrd715VQ_KK5vkC650yTQ9LVwZIunkN4OskN4zIM8-Jgz4Tixp2hruFn9LM3fWmCc51iRiJXX2NB2bvZphuAbYB_AMuMd-F3PUzWtucgfeM6Nvu7RGIBkcAlYcEuSqPgdOtwtrZrZ9X78UQLK8_fOjQ/60.jpg
10246,12.92,39.08,56.29,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97UM3M7ZQbZ8IDAekFclNg3FMpmxTmiUQDniSnpQFK7rk04xm5x63KN0Wwk2VewyGdYED1iMArrs9A4kq29x8b9CZwoINNpxi50RCPTb8GAzr0FKIUeOo7ViMxOgJPgFqcLTrsXrpi2NraV0oK9XHUBhKSX4Q/60.jpg
1990,10.26,27.13,55.42,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97PKfzF8VTbU1nVYMX35c5YChSaFtzl96rcRTjj4RG0DQ_r6Hr6t8ahwdwzmnkFyuXGO2BMwLvgFW6ktelRIuQpzQa4DO-fOzQMHrEdLsFsvoKN7vlcCctqLBGwQPyz_6NDou281bDdZ66i451ktm_YxAamtA/60.jpg
21673,8.66,29.33,44.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94lSjVqZFnaErEW7LGef29-zhkq3z-eOT8ta5Ikft4cEgN_DEhZu4g9nUmHLvnCn9JGQod21r-uwrUp-EQ7ldVCR5hqGk8dYDrL-8BK8O83wMj370VnO7I7GT3NlNqRZ2EyruJ0PUGh-QaD89HppcHw9V0lIw/60.jpg
35064,17.80,23.42,35.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94P_RII1AC7VZKwCZmzHNWBsyOSnnciyqgA2IGqrSjO6dm2X8byRaTY87tli2pTC0Aqqbf019canMSWYzBvi9a6BZnaQSTxKdPX6kUkPda7FRzBRNTtzZW0QfCyzeYkso2QCaqhT0dv-HEM3rVGjSvRKUfJGA/60.jpg
1991,25.34,64.03,96.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94OSnaI7w0jp8YcBVtQFeqIa_sWtZhVIja2BCbtwIv9qQTB9QVrITcEskFGln1eCsvdPrLNOba9UG7bXBVTWm7BMNOWaaUIsW8aErRMJHmkHu5NPYT7Qo3DtsdBAtdnBiqeA_xYZTGwrDR4f4wBl5XEIP7B0A/60.jpg
1992,8.84,21.00,37.03,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv951ZB3nZ8xtuY7H7yvGXmQHrfIrZ8bBz_Hzr35hLcIC5o-VMwYxxU2Jld0lOAL-OlJits9c-KYyHu6MspPYH579OqF3s-OiQe1p9JKpS1Wra0yvuVk66kVKsyUynQPLTIQD1jldSyrY1_aG4d94Wsj83ZSD5A/60.jpg
1993,9.31,19.99,30.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95oHAWMg30Egt85fpt3z9WPaVrKgHTKFuUu_cXcjf2LM0Q4ooxt1eaRDPELEqyd21_XFg1NYwtKicRblppQPYQo6l1zQRY2zMri88GvguTtJx3tAKLnITUFURaiDnoEicol403odpVz7NmYqvFbJZEDsHxS9A/60.jpg
11602,7.00,8.49,20.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95P-usEUl023cg3pQkgUEtQh4h59n9Ddxph-Tf6WDZx7juXXH0TfzexLVxwczpdY6y8A3cuz3eZkwD_3uVhRYAelgN25W3IfVNBKWqQWH1A1U6iCAT09TThMC_lU_t_Tk_E_nhtANA1_3MY38nfYN_1mXUfnA/60.jpg
1994,4.60,8.78,16.81,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96Vy_FpjK8bDtnsSYRn7OhCGTJsdWmbmpd4olfs0jvoeh9pHYDtuBUoXzdy4kUYUEEVYrWs0qQD-FsNcT8rPds5LIjCO59WzadwjvHbBK2Dvq5TF6mVa56JhspLwc37eVbcZk9BfSJ7jN3vqmRQrAJ_DJGYcw/60.jpg
