Price_Date,PC_ID,Title,Loose_Price,CIB_Price,New_Price,Image_URL
2024-05-19,7385,Metal Slug Anthology,15.05,19.99,42.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95MIeLnhf1uPAlE1PApVY-GLCE6HwCUVWlsCkKqxoq2PMTaAxYcjbkTj-QOHElXeANRCGnEmJzN7PspnAivzadDDpUfBwM-6W-WUvKw3B_yraznntQpjtbAQhkA0AdEv4Jik3MxqhpvzRPZAO6-mYFTInLVgA/60.jpg
2024-05-19,7386,Metroid Prime 3 Corruption,9.37,11.95,47.16,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96gNogAB5pYOPykxjQCZWNkrzBGYSsuQs3YrRkv9ItnIFvEKZ6FjvLayiOes0zrSI4DCuuTEP47la0jyBlGGFaaX9D5KKM5eIt3owQeJNvBeDZXyVndjisgImcRDmPBIIe10qjjCv3V7jCRjbs894GmyUYPOg/60.jpg
2024-05-19,36281,Metroid Prime Trilogy,61.18,64.67,120.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv946TaPRSBjz-Kj5jpC-OXskbbxC5R3HvxCsXl8trn5q2wxcN3zlKE3rEZlqo7KnTa8oAxDQqkKxQ3BDkPnBm_VuVwinfLf2mrx2uX58kV32eNpYJoCXLb0lU_D2wnFjRPZGAB13fI22aMDeoA_SEE-9wPmUCw/60.jpg
2024-05-19,19510,Metroid Prime Trilogy [Collector's Edition],73.03,76.05,83.60,https://commondatastorage.googleapis.com/images.pricecharting.com/ea813836f807559efa0d2e757dbb6dd55dcce3fb759a56006d18e9f1d5dc6d90/60.jpg
2024-05-19,21969,Metroid: Other M,11.97,14.00,20.99,https://commondatastorage.googleapis.com/images.pricecharting.com/1b371fb2793472f8027a62d687edd7e021385cbe4cfa030cd64b8b1c90fbf22a/60.jpg
2024-05-19,9362,MLB Power Pros,8.99,9.75,22.39,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94zQYYqKMjAKtcCPQfi1hqcsYVydhF1Gycz0uGGfhdaJpTbslSASCaHKCIx8ULyrW3xRnfa4gQDx0T73rahXIuLDkZNqaUnv9wa2goSXPkM776gYCelR2jo3FSQb59xPkjoqqqoeda8oybmTP2UEZoGw8w39A/60.jpg
2024-05-19,19591,Muramasa: The Demon Blade,25.11,36.92,53.47,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96YO9I92uCfmOTih3vs_wxllUIHPDL92UJCBKD6sshGAd7Gz7XdZLcWBsTJjBSxNNb8780-dZy47oQ04y7GtfrGBqPjEPy3Np1Bk1IH1NzxuL7Qi4By01hlGIBPnhzOr22uEZtqablyyDGjsfNAmmy5lnZX3A/60.jpg
2024-05-19,16107,Mushroom Men The Spore Wars,11.00,12.99,22.00,https://commondatastorage.googleapis.com/images.pricecharting.com/52796bb7ad6216960ca42afc3bac413acb05cd27e873c84ce9131ec1071de245/60.jpg
2024-05-19,20014,New Super Mario Bros. Wii,19.25,23.63,49.68,https://commondatastorage.googleapis.com/images.pricecharting.com/91f55117c07f21c8b40dcf0155b2c532077190e9a02cdf7fd529cf49bfbf8cb0/60.jpg
2024-05-19,11867,No More Heroes,10.96,12.18,38.15,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97Njmlpz6dDG3Y-a5Ic1WkMyw7bYIqMHFhiHBJKPCqdlK3mjQ2u0tPBOkuKGThJnAcyBr2lKAMvhfQjQ4hj3RIEUnIgo9A9_kfIKvgEwjiwqnlN0I-WaEJViW6hGQV-qvn0UrheJXMprYBZNWVvWw1PzjWOSw/60.jpg
